GeneID,bsf,pcf
Tb11.v5.0294,3.52,3.63
Tb11.v5.0295,3.52,3.63
Tb927.3.5380,3.49,3.66
Tb927.6.5100,3.43,3.72
Tb927.8.2700,3.34,3.81
Tb927.8.1030,3.33,3.82
Tb927.6.1930,3.53,3.63
Tb927.9.10870,3.48,3.68
Tb927.4.1650,3.28,3.88
Tb927.9.8905,3.27,3.89
Tb927.4.4720,3.25,3.91
Tb11.v5.0736,3.25,3.91
Tb927.5.3420,3.25,3.91
Tb927.5.1570,3.24,3.92
Tb927.11.15300,3.58,3.59
Tb927.6.3190,3.56,3.61
Tb927.5.2600,3.55,3.62
Tb927.8.5570,3.45,3.72
Tb927.8.7520,3.42,3.75
Tb927.8.3580,3.26,3.91
Tb927.10.7970,3.21,3.96
Tb927.7.3650,3.55,3.63
Tb927.3.2250,3.4,3.78
Tb927.10.6830,3.33,3.85
Tb11.v5.0539,3.33,3.85
Tb927.10.910,3.67,3.52
Tb927.7.4210,3.5,3.69
Tb927.6.1840,3.4,3.79
Tb927.8.5540,3.35,3.84
Tb927.3.1450,3.31,3.88
Tb927.3.1530,3.31,3.88
Tb927.11.12960,3.53,3.67
Tb927.10.1820,3.27,3.93
Tb927.2.170,3.6,3.61
Tb927.11.3140,3.39,3.82
Tb927.8.2010,3.36,3.85
Tb927.9.11370,3.34,3.87
Tb927.11.10100,3.32,3.89
Tb927.11.13990,3.29,3.92
Tb927.10.11820,3.49,3.72
Tb927.8.7120,3.32,3.9
Tb927.9.1730,3.54,3.68
Tb927.9.12140,3.5,3.72
Tb927.10.8050,3.29,3.93
Tb927.11.2710,3.68,3.55
Tb927.3.3500,3.63,3.6
Tb927.9.1950,3.42,3.81
Tb927.6.910,3.35,3.88
Tb927.11.2020,3.31,3.92
Tb927.3.4650,3.28,3.95
Tb927.8.1800,3.65,3.59
Tb927.7.670,3.6,3.64
Tb11.v5.0966,3.57,3.67
Tb927.4.3010,3.57,3.67
Tb927.8.540,3.57,3.67
Tb927.7.7120,3.52,3.72
Tb927.7.6200,3.37,3.87
Tb927.10.13580,3.21,4.03
Tb927.11.12100,3.75,3.5
Tb927.8.4180,3.7,3.55
Tb927.7.1520,3.62,3.63
Tb927.3.4540,3.6,3.65
Tb927.11.4140,3.51,3.74
Tb927.10.12200,3.45,3.8
Tb927.4.4710,3.37,3.88
Tb927.9.12680,3.27,3.98
Tb927.2.1730,3.68,3.58
Tb927.8.3240,3.66,3.6
Tb927.7.3010,3.62,3.64
Tb927.11.7680,3.46,3.8
Tb927.2.2400,3.34,3.92
Tb927.4.4815,3.28,3.98
Tb927.10.16050,3.67,3.6
Tb927.5.1800,3.6,3.67
Tb927.7.5640,3.6,3.67
Tb927.7.4400,3.54,3.73
Tb927.10.4720,3.54,3.73
Tb927.4.3720,3.51,3.76
Tb927.8.2530,3.47,3.8
Tb11.v5.0388,3.63,3.65
Tb927.11.1190,3.63,3.65
Tb927.1.1390,3.28,4
Tb927.8.6890,3.26,4.02
Tb927.8.2350,3.62,3.66
Tb927.7.1010,3.49,3.79
Tb927.2.5440,3.29,3.99
Tb927.3.2630,3.61,3.68
Tb927.10.15610,3.4,3.89
Tb927.11.6030,3.75,3.55
Tb927.11.10490,3.67,3.63
Tb927.10.10710,3.65,3.65
Tb927.3.2800,3.59,3.71
Tb11.v5.0867,3.57,3.73
Tb927.5.3330,3.57,3.73
Tb927.8.3700,3.74,3.56
Tb927.10.14410,3.73,3.58
Tb927.6.3560,3.68,3.63
Tb927.4.2590,3.61,3.7
Tb927.8.5850,3.48,3.83
Tb927.10.9230,3.46,3.85
Tb927.7.1140,3.32,3.99
Tb927.11.11960,3.26,4.06
Tb927.10.990,3.78,3.54
Tb927.8.6400,3.36,3.96
Tb927.6.1480,3.75,3.58
Tb927.11.6770,3.55,3.78
Tb927.9.3540,3.28,4.05
Tb927.9.12400,3.28,4.05
Tb927.10.12520,3.71,3.63
Tb927.10.9350,3.49,3.85
Tb927.3.2990,3.79,3.56
Tb927.1.4800,3.77,3.58
Tb927.11.16650,3.62,3.73
Tb927.9.9160,3.6,3.75
Tb927.11.11135,3.49,3.86
Tb927.8.2760,3.43,3.92
Tb927.4.1990,3.35,4
Tb927.10.11350,3.5,3.86
Tb927.4.1430,3.72,3.64
Tb11.v5.0971,3.64,3.72
Tb927.4.2950,3.64,3.72
Tb927.11.7580,3.62,3.74
Tb927.4.4640,3.63,3.74
Tb927.2.2570,3.37,4
Tb11.v5.0646,3.73,3.65
Tb927.10.11440,3.73,3.65
Tb927.6.3420,3.44,3.94
Tb11.v5.0550,3.82,3.57
Tb11.v5.0813,3.9,3.49
Tb927.10.9470,3.9,3.49
Tb927.10.9480,3.9,3.49
Tb927.10.9490,3.9,3.49
Tb927.10.11770,3.74,3.65
Tb927.3.5170,3.69,3.7
Tb927.10.15240,3.79,3.61
Tb927.5.1640,3.77,3.63
Tb927.10.5530,3.63,3.77
Tb11.v5.0282,3.5,3.9
Tb927.5.340,3.5,3.9
Tb927.10.3270,3.23,4.17
Tb927.6.3580,3.79,3.62
Tb927.3.4740,3.27,4.14
Tb927.3.4780,3.27,4.14
Tb927.10.12220,3.8,3.62
Tb927.4.1420,3.48,3.94
Tb11.v5.0187,3.77,3.66
Tb927.7.5070,3.77,3.66
Tb927.4.510,3.45,3.98
Tb11.v5.0238,3.41,4.03
Tb927.10.5190,3.41,4.03
Tb927.3.2390,3.44,4.01
Tb927.7.6410,3.91,3.54
Tb927.10.10750,3.89,3.56
Tb927.9.14130,3.89,3.56
Tb927.11.16290,3.38,4.07
Tb927.1.3120,3.83,3.63
Tb927.5.4340,3.78,3.69
Tb927.10.4750,3.58,3.89
Tb927.2.5410,3.3,4.18
Tb927.10.4730,3.9,3.59
Tb927.8.4860,3.67,3.82
Tb927.4.1830,3.9,3.6
Tb927.11.16060,3.95,3.56
Tb927.10.15260,3.91,3.6
Tb11.1230,3.91,3.6
Tb11.v5.0997,3.91,3.6
Tb927.7.1660,3.9,3.61
Tb927.7.4080,3.86,3.65
Tb927.10.10150,3.92,3.6
Tb927.8.2960,3.82,3.7
Tb927.9.1540,3.88,3.67
Tb927.4.3700,3.84,3.71
Tb927.1.4370,3.97,3.58
Tb927.3.1440,3.97,3.59
Tb927.2.5750,3.88,3.68
Tb927.2.3960,3.81,3.75
Tb927.7.4320,3.39,4.17
Tb927.9.7150,3.86,3.72
Tb927.8.3200,3.83,3.75
Tb927.10.2050,3.78,3.8
Tb927.11.5490,4.01,3.58
Tb927.4.5330,3.92,3.67
Tb927.9.4530,3.81,3.78
Tb927.5.1890,4.02,3.58
Tb927.7.5440,3.99,3.61
Tb927.11.9200,4.13,3.48
Tb927.11.16680,4.04,3.57
Tb927.10.8680,3.98,3.63
Tb927.1.2640,4.07,3.55
Tb927.3.3070,3.89,3.73
Tb927.1.2160,3.39,4.23
Tb927.10.3870,3.99,3.65
Tb927.8.1430,3.69,3.95
Tb927.10.11060,3.55,4.1
Tb927.6.1120,4.03,3.62
Tb927.3.4280,4.16,3.5
Tb11.v5.0817,3.97,3.69
Tb927.10.9750,3.97,3.69
Tb927.11.12180,4.03,3.64
Tb927.9.11930,4.15,3.55
Tb927.5.1070,3.98,3.72
Tb927.11.8960,4.05,3.66
Tb927.3.2260,3.81,3.9
Tb927.8.5110,3.29,4.42
Tb927.5.2710,3.94,3.78
Tb927.4.2190,4.18,3.55
Tb927.9.11960,4,3.73
Tb927.5.285b,3.43,4.3
Tb927.5.320,3.43,4.3
Tb11.v5.0209,3.43,4.3
Tb927.7.6590,4.24,3.5
Tb927.9.11810,4.18,3.56
Tb927.11.4660,3.37,4.37
Tb927.11.10720,3.94,3.81
Tb927.5.2420,4.04,3.72
Tb927.8.4700,3.64,4.12
Tb927.8.4710,3.64,4.12
Tb927.8.4720,3.64,4.12
Tb927.8.4730,3.64,4.12
Tb927.8.4740,3.64,4.12
Tb11.v5.0569,3.64,4.12
Tb927.11.16910,3.22,4.54
Tb927.6.860,3.21,4.55
Tb927.10.13380,4.24,3.53
Tb927.10.10810,4.17,3.61
Tb06.3A7.270,3.31,4.47
Tb927.11.3410,4.06,3.73
Tb927.9.9700,3.39,4.41
Tb927.5.1770,4.21,3.6
Tb927.7.6740,4.19,3.62
Tb927.7.1090,4.17,3.65
Tb927.3.2780,4.14,3.68
Tb927.9.6110,4.13,3.69
Tb927.4.3530,4.32,3.52
Tb927.2.3750,4.31,3.53
Tb927.5.1530,4.15,3.69
Tb927.7.2220,4.13,3.71
Tb927.2.5530,3.96,3.88
Tb927.2.5610,3.96,3.88
Tb927.3.2730,3.82,4.03
Tb927.1.760,4.27,3.6
Tb927.8.7920,4.39,3.49
Tb927.11.310,4.34,3.55
Tb927.11.1470,4.33,3.57
Tb927.11.11020,4.21,3.69
Tb927.4.4480,4.04,3.86
Tb11.v5.0960,3.35,4.55
Tb927.4.3110,3.35,4.55
Tb927.10.6210,4.34,3.57
Tb927.11.4510,4.24,3.67
Tb927.11.7920,3.4,4.51
Tb927.9.10340,3.35,4.56
Tb927.6.4700,3.24,4.67
Tb11.v5.0712,4.42,3.5
Tb927.10.11620,4.42,3.5
Tb927.10.870,4.39,3.53
Tb927.11.5410,4.35,3.57
Tb11.v5.0787,4.32,3.6
Tb927.10.15400,4.32,3.6
Tb927.7.2560,4.17,3.75
Tb927.11.6480,4.26,3.68
Tb927.11.10600,3.32,4.62
Tb927.8.1310,3.19,4.75
Tb927.11.14070,4.05,3.9
Tb927.11.14840,4.33,3.62
Tb11.v5.0625,4.43,3.53
Tb927.11.9110,4.43,3.53
Tb927.2.2410,4.33,3.63
Tb927.10.11110,4.25,3.71
Tb927.7.5960,3.24,4.73
Tb927.7.5980,3.24,4.73
Tb11.v5.0651,4.43,3.55
Tb927.10.13070,4.41,3.57
Tb927.7.5040,4.47,3.52
Tb11.v5.0184,4.47,3.52
Tb11.v5.1038,4.46,3.53
Tb11.v5.0428,4.46,3.53
Tb927.10.15840,4.46,3.53
Tb927.1.4520,4.35,3.64
Tb927.3.2710,4.09,3.9
Tb927.5.4300,4.05,3.94
Tb927.11.11320,3.4,4.59
Tb927.2.2060,4.5,3.5
Tb927.11.11410,4.48,3.52
Tb927.9.1650,3.22,4.78
Tb927.11.2180,3.2,4.8
Tb927.11.4250,4.42,3.59
Tb927.11.8710,4.42,3.59
Tb927.6.2620,4.4,3.61
Tb927.3.4350,4.34,3.67
Tb927.8.3830,4.43,3.59
Tb927.1.3560,4.41,3.61
Tb927.8.4310,4.34,3.68
Tb927.5.2510,4.2,3.82
Tb927.8.7850,4.47,3.56
Tb927.11.15980,4.34,3.69
Tb927.11.5130,4.42,3.62
Tb10.v4.0038,4.38,3.66
Tb927.10.4480,4.38,3.66
Tb927.11.4390,4.37,3.67
Tb927.8.8350,4.22,3.82
